Disease,Gene,Inheritance,OMIM,T cells,B cells,Ig,Associated features,,
Methylenetetrahydrofolate dehydrogenase 1 (MTHFD1) deficiency ,MTHFD1,AR ,172460 ,"Low thymic output, normal in vitro proliferation ",Low ,Decreased/poor antibody responses to conjugated polysaccharide antigens ,"Recurrent bacterial infection, P. jirovecii; megaloblastic anemia; failure to thrive; neutropenia; seizures, intellectual disability; folate-responsive ",,
SLC19A1/PCFT deficiency causing hereditary folate malabsorption ,SLC19A1,AR ,620603 ,Mitogen-induced T-cell proliferation was significantly reduced ,Slightly low ,Slightly decreased or borderline ,"Recurrent infections, severe pneumonia, mucositis, megaloblastic folate–dependent anemia ",,
"EDA-ID due to NEMO/IKBKG deficiency (ectodermal dysplasia, immune deficiency) ",IKBKG,XL ,300248 ,"Normal or decreased, TCR activation impaired ",Normal; low memory and isotype-switched B cells ,"Decreased, some with elevated IgA, IgM, poor specific antibody responses, absent antibodies to polysaccharide antigens ","Anhidrotic ectodermal dysplasia (in some); various infections (bacteria, mycobacteria, viruses, fungi); colitis; conical teeth, variable defects of skin, hair, and teeth; monocyte dysfunction ",,
EDA-ID due to IKBA GOF mutation ,NFKBIA,AD GOF ,164008 ,"Normal total T cells, TCR activation impaired ","Normal B-cell numbers, impaired BCR activation, low memory and isotype-switched B cells ","Decreased IgG and IgA, elevated IgM, poor specific antibody responses, absent antibody to polysaccharide antigens ","Anhidrotic ectodermal dysplasia. Various infections (bacteria, mycobacteria, viruses, fungi); colitis; variable defects of skin, hair, and teeth; T-cell and monocyte dysfunction ",,
EDA-ID due to IKBKB GOF mutation ,IKBKB,AD GOF ,618204 ,"Decreased T cells, impaired TCR activation ","Normal number, poor function ",Reduced ,"Recurrent bacterial, viral, fungal infections; variable ectodermal defects ",,
ORAI-1 deficiency ,ORAI1,AR ,610277 ,"Normal, defective TCR–mediated activation ",Normal ,Normal ,Autoimmunity; EDA; nonprogressive myopathy ,,
STIM1 deficiency ,STIM1,AR ,605921 ,,,,,,
CRACR2A deficiency ,CRACR2A,AR ,NA ,Mild reduction in T-cell numbers ,Normal ,Low ,"Later onset, chronic diarrhea, recurrent lower respiratory tract infections, including pneumonia ",,
ITPR3 ,ITPR3,AR ,NA ,"Low T-cell numbers, impaired T-cell activation and proliferation ",Low. Trend to lower proliferation ,Low ,"Charcot–Marie–Tooth in one patient. CID, ITP, AIHA. Recurrent infections, enteropathy ",,
Purine nucleoside phosphorylase (PNP) deficiency ,PNP,AR ,164050 ,Progressive decrease ,Normal ,Normal or low ,Autoimmune hemolytic anemia; neurological impairment ,,
Immunodeficiency with multiple intestinal atresias ,TTC7A,AR ,609332 ,"Variable, but sometimes absent or low TRECs at NBS; may have SCID phenotype at birth ",Normal or low ,"Markedly decreased IgG, IgM, IgA ","Bacterial (sepsis), fungal, viral infections; multiple intestinal atresias, often with intrauterine polyhydramnios and early demise ",,
Trichohepatoenteric syndrome ,TTC37,AR ,222470 ,Impaired IFN-γ production ,Variably low numbers of switched memory B cells ,"Hypogammaglobulinemia, may have low antibody responses ","Respiratory infections; IUGR; facial dysmorphic features, wooly hair; early-onset intractable diarrhea, liver cirrhosis; platelet abnormalities ",,
,SKIV2L,614602 ,,,,,,,
VODI ,SP110,AR ,604457 ,Normal (decreased memory T cells) ,Normal (decreased memory B cells) ,"Decreased IgG, IgA, IgM, absent germinal center and tissue plasma cells ","Hepatic veno-occlusive disease; susceptibility to PJP pneumonia, CMV, candida; thrombocytopenia; hepatosplenomegaly; cerebrospinal leukodystrophy ",,
BCL11B deficiency ,BCL11B,AD ,617237 ,"Low, poor proliferation ",Normal ,Normal ,"Congenital abnormalities, neonatal teeth, dysmorphic facies; absent corpus callosum, neurocognitive deficits ",,
EPG5 deficiency (Vici syndrome) ,EPG5,AR ,615068 ,Profound depletion of CD4+ cells ,Defective ,Decreased (particularly IgG2) ,"Agenesis of the corpus callosum; cataracts; cardiomyopathy; skin hypopigmentation; intellectual disability; microcephaly; recurrent infections, chronic mucocutaneous candidiasis ",,
HOIL1 deficiency ,RBCK1,AR ,610924 ,Normal numbers ,"Normal, decreased memory B cells ",Poor antibody responses to polysaccharides ,Bacterial infections; autoinflammation; amylopectinosis ,,
HOIP deficiency ,RNF31,AR ,612487 ,Normal numbers ,"Normal, decreased memory B cells ",Decreased ,Bacterial infections; autoinflammation; amylopectinosis; lymphangiectasia ,,
Hennekam lymphangiectasia–lymphedema syndrome ,CCBE1,AR ,612753 ,Low/variable ,Low/variable ,Decreased ,Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features ,,
,FAT4,AR ,612411 ,Low/variable ,Low/variable ,Decreased ,Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features ,,
"Activating de novo mutations in nuclear factor, erythroid 2–like (NFE2L2) ",NFE2L2,AD ,617744 ,Not reported ,Decreased switched memory B cells ,"Hypogammaglobulinemia, decreased antibody responses ","Recurrent respiratory and skin infections; growth retardation, developmental delay; white matter cerebral lesions; increased level of homocysteine; increased expression of stress response genes ",,
STAT5B deficiency ,STAT5B,AR ,245590 ,"Modestly decreased, reduced Treg number and function ",Normal ,"Hypergammaglobulinemia, increased IgE ",Growth hormone–insensitive dwarfism; dysmorphic features; eczema; lymphocytic interstitial pneumonitis; prominent autoimmunity ,,
Kabuki syndrome,KMT2D,AD ,602113 ,Normal ,Normal ,Low IgA and occasionally low IgG ,"Typical facial abnormalities, cleft or high arched palate, skeletal abnormalities, short stature; intellectual disability; congenital heart defects; recurrent infections (otitis media, pneumonia) in 50% of patients; autoimmunity may be present ",,
Kabuki syndrome,KDM6A,XL (females may be affected) ,300128 ,,,,,,
KMT2A deficiency (Wiedemann–Steiner syndrome) ,KMT2A,AD ,605130 ,Normal ,Decreased switched and nonswitched memory B cells ,"Hypogammaglobulinemia, decreased antibody responses ","Respiratory infections; short stature; hypertelorism; hairy elbows; developmental delay, intellectual disability ",,
DIAPH1 deficiency ,DIAPH1,AR ,616632 ,Reduced naïve T cells ,Decreased memory B cells ,"Low IgM, normal IgG ","Seizures, cortical blindness, microcephaly syndrome (SCBMS); recurrent bacterial, viral, fungal infections; B lymphoma (3/7) ",,
AIOLOS deficiency ,IKZF3,AD ,619437 ,Normal ,Reduced; impaired development ,Very low ,"EBV susceptibility, recurrent sinopulmonary and respiratory infections, P. jirovecii, warts (HPV), Mycobacterium avium, B-cell malignancy. Haploinsufficiency shows autoimmunity and allergy ",,
CD28 deficiency ,CD28,AR ,620901 ,Normal ,Normal ,Normal ,Susceptibility to HPV infection only ,,
SGPL1 deficiency ,SGPL1,AR ,617575 ,Low ,Low ,Low maybe due to nephrotic syndrome ,"Low or normal NK cells. Multiple bacterial infections. Nephrotic syndrome, adrenal insufficiency, ichthyosis/acanthosis, dyslipidemia, mild hypothyroidism, neurological defects ",,
PTCRA deficiency ,PTCRA,AR ,620931 ,"Low T-cell counts in infancy. Total T-cell counts gradually increased to reach normal ranges. Low circulating naïve αβ T-cell counts, normal memory αβ T-cell counts and high naïve γδ T-cell counts, low TRECs ",Normal ,,"Recurrent infections, lymphoproliferation, and/or autoimmunity and presence of autoantibodies. Some (6/10) individuals are healthy, and some can have small or no visible thymus. Low frequency of MAIT. High proportion of CD4−CD8−DN αβ T cells among naïve T cells ",,
FLT3L deficiency ,FLT3LG,AR ,620926 ,Normal ,Decreased ,Increased ,"Hypoplastic anemia, monocytopenia, DC-penia, low/absence of dermal DCs. NK cells normal. Recurrent/persistent viral infections, severe warts, bacterial (pneumonia, otitis media, pharyngitis, cellulitis) and fungal infections. Recurrent diarrhea from early infancy, failure to thrive ",,
"BTK deficiency, X-linked agammaglobulinemia ",BTK,XL ,300300 ,All isotypes decreased in majority of patients; some patients have detectable immunoglobulins ,"Severe bacterial infections, normal numbers of pro-B cells ",,,,
μ heavy chain deficiency ,IGHM,AR ,147020 ,All isotypes decreased ,"Severe bacterial infections, normal numbers of pro-B cells ",,,,
λ5 deficiency ,IGLL1,AR ,146770 ,,,,,,
Igα deficiency ,CD79A,AR ,112205 ,,,,,,
Igβ deficiency ,CD79B,AR ,147245 ,,,,,,
BLNK deficiency ,BLNK,AR ,604515 ,,,,,,
p110δ deficiency ,PIK3CD,AR ,602839 ,Severe bacterial infections; autoimmune complications (IBD) ,,,,,
p85 deficiency ,PIK3R1,AR ,615214 ,"Severe bacterial infections, cytopenias, decreased or absent pro-B cells ",,,,,
E47 transcription factor deficiency ,TCF3,AD ,616941 ,Recurrent bacterial infections ,,,,,
SLC39A7 (ZIP7) deficiency ,SLC39A7,AR ,601416 ,"Early-onset infections, blistering dermatosis, failure to thrive, thrombocytopenia ",,,,,
Hoffman syndrome/TOP2B deficiency ,TOP2B,AD ,126431 ,"Recurrent infections, facial dysmorphism, limb anomalies ",,,,,
FNIP1 deficiency (6 patients) ,FNIP1,AR ,619705 ,"Early-onset recurrent infections, bronchiectasis, fibrosis, interstitial pneumonia; neutropenia (severe or intermittent); Crohn’s disease (one patient); congenital heart defects, muscular hypotonia; developmental delay ",,,,,
PU1 deficiency ,SPI1,AD ,619707 ,"Sinopulmonary infections with encapsulated bacteria, viral infections ",,,,,
PAX5 deficiency (n = 1) ,PAX5,AR ,,,"Early B-cell developmental block, B cell strongly decreased, transitional and naïve mature B cells expressed lower CD19 and IgD—natural effector and memory B cells, as well as plasmablasts, were absent in the blood of the patient; a-/hypo-gammaglobulinemia, recurrent infections, autism spectrum disorder (ASD), and sensorimotor and cognitive defects ",,,,
Activated p110δ syndrome (APDS) ,PIK3CD,AD ,615513 (APDS1) ,"Normal/increased IgM, reduced IgG and IgA ","Severe bacterial infections, reduced memory B cells, and increased transitional B cells, EBV ± CMV viremia, lymphadenopathy/splenomegaly, autoimmunity, lymphoproliferation, lymphoma ",,,,
,PIK3R1,AD ,616005 (APDS2) ,"Severe bacterial infections, reduced memory B cells, and increased transitional B cells, lymphadenopathy/splenomegaly, lymphoproliferation, lymphoma; developmental delay ",,,,,
PTEN deficiency (LOF) ,PTEN,AD ,158350 ,Normal/decreased ,"Recurrent infections, lymphoproliferation, autoimmunity; developmental delay ",,,,
CD19 deficiency ,CD19,AR ,107265 ,Low IgG and IgA and/or IgM ,"Recurrent infections, may have glomerulonephritis (CD81 mutation abolishes the expression of CD19, thereby phenocopying CD19 mutations) ",,,,
CD81 deficiency ,CD81,AR ,186845 ,"Low IgG, low or normal IgA and IgM ",,,,,
CD20 deficiency ,MS4A1,AR ,112210 ,"Low IgG, normal or elevated IgM and IgA ",Recurrent infections ,,,,
CD21 deficiency ,CR2,AR ,120650 ,"Low IgG, impaired anti-pneumococcal response ",Recurrent infections ,,,,
TACI deficiencya ,TNFRSF13B,AR or AD ,604907 ,Low IgG and IgA and/or IgM ,Variable clinical expression and penetrance for monoallelic variants ,,,,
BAFF receptor deficiency ,TNFRSF13C,AR ,606269 ,Low IgG and IgM ,Variable clinical expression ,,,,
TWEAK deficiency ,TNFSF12,AD ,602695 ,"Low IgM and IgA, lack of anti-pneumococcal antibody ","Pneumonia, bacterial infections, warts, thrombocytopenia, neutropenia ",,,,
TRNT1 deficiency ,TRNT1,AR ,612907 ,B-cell deficiency and hypogammaglobulinemia ,"Congenital sideroblastic anemia, deafness, developmental delay ",,,,
NFKB1 deficiency ,NFKB1,AD ,164011 ,"Normal or low IgG, IgA, IgM, low or normal B cells, low memory B cells ","Recurrent sinopulmonary infections, COPD, EBV proliferation, autoimmune cytopenias, alopecia, and autoimmune thyroiditis ",,,,
NFKB2 deficiency ,NFKB2,AD ,615577 ,"Low serum IgG, IgA, and IgM; low B-cell numbers ","Recurrent sinopulmonary infections, alopecia, and endocrinopathies ",,,,
IKAROS deficiency ,IKZF1,AD (haploinsufficiency) ,603023 ,"Low IgG, IgA, IgM, low or normal B cells; B cells and Ig levels reduce with age ","Decreased pro-B cells, recurrent sinopulmonary infections; increased risk of ALL, autoimmunity, CVID phenotype ",,,,
IRF2BP2 deficiency ,IRF2BP2,AD ,615332 ,"Hypogammaglobulinemia, absent IgA ","Recurrent infections, possible autoimmunity and inflammatory disease ",,,,
ATP6AP1 deficiency ,ATP6AP1,XL ,300972 ,Variable immunoglobulin findings ,"Hepatopathy, leukopenia, low copper ",,,,
ARHGEF1 deficiency ,ARHGEF1,AR ,618459 ,Hypogammaglobulinemia; lack of antibody ,"Recurrent infections, bronchiectasis ",,,,
SH3KBP1 (CIN85) deficiency ,SH3KBP1,XL ,300310 ,"IgM, IgG deficiency; loss of antibody ",Severe bacterial infections ,,,,
SEC61A1 deficiency ,SEC61A1,AD ,609213 ,Hypogammaglobulinemia ,Severe recurrent respiratory tract infections ,,,,
RAC2 deficiency ,RAC2,AR ,602049 ,"Low IgG, IgA, IgM, low or normal B cells; reduced Ab responses following vaccination ","Recurrent sinopulmonary infections, selective IgA deficiency; poststreptococcal glomerulonephritis; urticaria ",,,,
Mannosyl-oligosaccharide glucosidase deficiency ,MOGS,AR ,601336 ,"Low IgG, IgA, IgM, increased B cells; poor Ab responses following vaccination ",Bacterial and viral infections; severe neurological disease; also known as congenital disorder of glycosylation type IIb (CDG-IIb) ,,,,
PIK3CG deficiency ,PIK3CG,AR ,619802 ,"Reduced memory B cells, hypogammaglobulinemia ","Recurrent infections, cytopenia/lymphopenia, eosinophilia, splenomegaly, lymphadenopathy, HLH-like ",,,,
BOB1 deficiency ,POU2AF1,AR ,NA ,"Reduced memory B cells, agammaglobulinemia ","Recurrent respiratory infections, possible chronic viral infection of CNS with progressive tetraparesis ",,,,
KARS1 deficiency ,KARS1,AR ,619147 ,"Impaired B-cell metabolism (decreased mitochondrial numbers and activity). B-cell lymphopenia, hypogammaglobulinemia, impaired vaccine responses ","Severe developmental delay, sensorineural deafness, acute disseminated encephalomyelitis, central and peripheral nervous system impairment, heart and liver disease. Recurrent/severe infections ",,,,
PI4KA deficiency ,PI4KA,AR ,619708 ,"Reduced total B cells, few memory B cells, hypogammaglobulinemia ","Recurrent infections; autoimmune/autoinflammatory, neurological (limb spasticity, developmental delay, intellectual disability, seizures, ataxia, nystagmus with polymicrogyria, cerebellar hypoplasia, arthrogryposis), and gastrointestinal (inflammatory bowel disease, multiple intestinal atresia) manifestations ",,,,
AID deficiency ,AICDA,AR ,605258 ,"IgG and IgA decreased, IgM increased; normal memory B cells but lacking somatic hypermutation ","Bacterial infections, enlarged lymph nodes and germinal centers; autoimmunity ",,,,
UNG deficiency ,UNG,AR ,191525 ,"IgG and IgA decreased, IgM increased ",Enlarged lymph nodes and germinal centers ,,,,
INO80 deficiency ,INO80,AR ,610169 ,"IgG and IgA decreased, IgM increased ",Severe bacterial infections ,,,,
MSH6 deficiency ,MSH6,AR ,600678 ,"Variable IgG, defects, increased IgM in some, normal B cells, low switched memory B cells, Ig class switch recombination and somatic hypermutation defects ",Family or personal history of cancer ,,,,
CTNNBL1 deficiency ,CTNNBL1,AR ,619846 ,"Reduced memory B cells, Ig class switch recombination and somatic hypermutation defects, progressive hypogammaglobulinemia ","CVID, autoimmune cytopenias, recurrent infections, hyperplastic germinal centers ",,,,
APRIL deficiency ,TNFSF13,AR ,NA ,"Normal total B-cell counts, reduced memory B cells, hypogammaglobulinemia ","CVID, chronic but mild infections, alopecia areata ",,,,
Kappa chain deficiency ,IGKC,AR ,147200 ,All immunoglobulins have lambda light chain ,Asymptomatic ,,,,
CARD11 GOF ,CARD11,AD GOF ,616452 ,Polyclonal B-cell lymphocytosis due to constitutive NF-κB activation ,"Splenomegaly, lymphadenopathy, poor vaccine response ",,,,
Perforin deficiency (FHL2) ,PRF1,AR ,170280 ,Increased activated T cells ,Normal ,Decreased to absent NK and CTL activities (cytotoxicity) ,"Fever, HSM, HLH, cytopenias ",,
UNC13D/Munc13-4 deficiency (FHL3) ,UNC13D,AR ,608897 ,Increased activated T cells ,Normal ,Decreased to absent NK and CTL activities (cytotoxicity and/or degranulation) ,"Fever, HSM, HLH, cytopenias ",,
Syntaxin 11 deficiency (FHL4) ,STX11,AR ,605014 ,,,,,,
STXBP2/Munc18-2 deficiency (FHL5) ,STXBP2,AR or AD ,601717 ,,,,,,
FAAP24 deficiency ,FAAP24,AR ,610884 ,Increased activated T cells ,Normal ,Failure to kill autologous EBV transformed B cells. Normal NK cell function ,EBV-driven lymphoproliferative disease ,,
SLC7A7 deficiency ,SLC7A7,AR ,222700 ,Normal ,Normal ,Hyperinflammatory response of macrophages,"Lysinuric protein intolerance, bleeding tendency, alveolar proteinosis ",,
RHOG deficiency ,RHOG,AR ,NA ,Normal ,Slightly reduced ,Impaired CTL and NK cell cytotoxicity ,"HLH (hemophagocytosis, hepatosplenomegaly, fever, cytopenias, low hemoglobin, hypertriglyceridemia, elevated ferritin, sCD25) ",,
DPP9 deficiency ,DPP9,AR ,620331 ,NA ,NA ,Aberrant activation of the canonical NLRP1 inflammasome and IL-1β signaling. Hyperinflammation with increased levels of IL-1β and IL-18 due to loss of NLRP1 repression. Normal NK cell function ,"Increased susceptibility to infection (herpes, bronchitis, otitis media) pancytopenia (petechiae), recurrent fever, skin pigmentation abnormalities. Poor growth (short stature, failure to thrive) ",,
Chediak–Higashi syndrome ,LYST,AR ,606897 ,Increased activated T cells ,Normal ,Decreased NK and CTL activities (cytotoxicity and/or degranulation) ,"Partial albinism, recurrent infections, fever, HSM, HLH, giant lysosomes, neutropenia, cytopenias, bleeding tendency, progressive neurological dysfunction ",,
"Griscelli syndrome, type 2 ",RAB27A,AR ,603868 ,Normal ,Normal ,Decreased NK and CTL activities (cytotoxicity and/or degranulation) ,"Partial albinism, fever, HSM, HLH, cytopenias ",,
"Hermansky–Pudlak syndrome, type 2 ",AP3B1,AR ,603401 ,Normal ,Normal ,Decreased NK and CTL activities (cytotoxicity and/or degranulation) ,"Partial albinism, recurrent infections, pulmonary fibrosis, increased bleeding, neutropenia, HLH ",,
"Hermansky–Pudlak syndrome, type 10 ",AP3D1,AR ,617050 ,Normal ,Normal ,Decreased NK and CTL activities (cytotoxicity and/or degranulation) ,"Oculocutaneous albinism, severe neutropenia, recurrent infections, seizures, hearing loss, and neurodevelopmental delay ",,
CEBPE multimorphic ,CEBPE,AR GOF ,260570 ,Mild reduction ,Not done ,"Autoinflammasome activation/↑ IFN gene expression, altered chromatin occupancy of mutant CEBPE, and transcriptional changes ","Recurrent abdominal pain, aseptic fever, systemic inflammation; abscesses, ulceration, infections; mild bleeding diathesis ",,
"IPEX, immune dysregulation, polyendocrinopathy, enteropathy X-linked ",FOXP3,XL ,300292 ,Normal ,Normal ,Lack of (and/or impaired function of) CD4+ CD25+ FOXP3+ regulatory T cells (Tregs) ,"Autoimmune enteropathy, early-onset diabetes, thyroiditis hemolytic anemia, thrombocytopenia, eczema, elevated IgE and IgA ",,
CD25 deficiency ,IL2RA,AR ,147730 ,Normal to decreased ,Normal ,No CD4+C25+ cells with impaired function of Treg cells ,"Lymphoproliferation, autoimmunity, impaired T-cell proliferation in vitro ",,
CD122 deficiency ,IL2RB,AR ,618495 ,"Increased memory CD8 T cells, decreased Tregs ",Increased memory B cells ,"Diminished IL-2Rβ expression, dysregulated signaling in response to IL-2/IL-15; increased immature NK cells ","Lymphoproliferation, lymphadenopathy, hepatosplenomegaly, autoimmune hemolytic anemia, dermatitis, enteropathy, hypergammaglobulinemia, recurrent viral (EBV, CMV) infections ",,
CTLA4 haploinsufficiency (ALPS-V) ,CTLA4,AD ,123890 ,Decreased ,Decreased ,Impaired function of Tregs ,"Autoimmune cytopenias, enteropathy, interstitial lung disease, extralymphoid lymphocytic infiltration, recurrent infections ",,
LRBA deficiency ,LRBA,AR ,606453 ,Normal or decreased CD4 numbers; T-cell dysregulation ,Low or normal numbers of B cells ,Reduced IgG and IgA in most ,"Recurrent infections, inflammatory bowel disease, autoimmunity ",,
DEF6 deficiency ,DEF6,AR ,610094 ,Mild CD4 and CD8 lymphopenia ,Low or normal numbers of B cells ,Impaired Treg function ,"Enteropathy, hepatosplenomegaly, cardiomyopathy, recurrent infections ",,
NBEAL2 deficiency ,NBEAL2,AR ,139090 ,"Low CTLA-4 expression in effector T cells, normal regulatory T cells ",,,"Gray platelet syndrome (macrothrombocytopenia, α-granule–deficient platelets, bleeding disorders), splenomegaly, and progression to myelofibrosis. Autoimmune lymphoproliferative syndrome, EBV reactivation, MAS ",,
STAT3 GOF ,STAT3,AD GOF ,102582 ,Decreased ,Decreased ,"Enhanced STAT3 signaling, leading to increased Th17 cell differentiation, lymphoproliferation, and autoimmunity. Decreased Tregs and impaired function ","Lymphoproliferation, solid organ autoimmunity, recurrent infections ",,
BACH2 deficiency ,BACH2,AD ,605394 ,Progressive T-cell lymphopenia ,Impaired memory B-cell development ,Haploinsufficiency for a critical lineage specification transcription factor ,"Lymphocytic colitis, sinopulmonary infections ",,
FERMT1 deficiency ,FERMT1,AR ,173650 ,Normal ,Normal ,"Intracellular accumulation of IgG, IgM, IgA, and C3 in colloid bodies under the basement membrane ","Dermatosis characterized by congenital blistering, skin atrophy, photosensitivity, skin fragility, and scaling ",,
IKAROS GOF ,IKZF1,AD GOF ,NA ,Normal ,Normal/mild decrease ,Increased binding of mutant IKAROS to DNA/target genes ,"Multiple autoimmune features (diabetes, colitis, thyroiditis), allergy, lymphoproliferation, plasma cell expansion (IgG4+), Evans syndrome, recurrent infections ",,
"APECED (APS-1), autoimmune polyendocrinopathy with candidiasis and ectodermal dystrophy ",AIRE,AR or AD ,240300 ,Normal ,Normal ,AIRE serves as a checkpoint in the thymus for negative selection of autoreactive T cells and for generation of Tregs ,"Autoimmunity: hypoparathyroidism, hypothyroidism, adrenal insufficiency, diabetes, gonadal dysfunction and other endocrine abnormalities; dental enamel hypoplasia, alopecia areata enteropathy, pernicious anemia; chronic mucocutaneous candidiasis ",,
ITCH deficiency ,ITCH,AR ,606409 ,Not assessed ,Not assessed ,Itch deficiency may cause immune dysregulation by affecting both anergy induction in autoreactive effector T cells and generation of Tregs ,"Early-onset chronic lung disease (interstitial pneumonitis), autoimmunity (thyroiditis, type I diabetes, chronic diarrhea/enteropathy, and hepatitis), failure to thrive, developmental delay, dysmorphic facial features ",,
Tripeptidyl peptidase II deficiency ,TPP2,AR ,190470 ,Decreased ,Decreased ,TPP2 deficiency results in premature immunosenescence and immune dysregulation ,"Variable lymphoproliferation, severe autoimmune cytopenias, hypergammaglobulinemia, recurrent infections ",,
JAK1 GOF ,JAK1,AD GOF ,147795 ,Not assessed ,Not assessed ,Hyperactive JAK1 ,"HSM, eosinophilia, eosinophilic enteritis, thyroid disease, poor growth, viral infections ",,
Prolidase deficiency ,PEPD,AR ,613230 ,Normal ,Normal ,Peptidase D ,"Autoantibodies common, chronic skin ulcers, eczema, infections ",,
SOCS1 haploinsufficiency ,SOCS1,AD ,619375 ,Decreased ,Reduced switched memory B cells ,"↑pSTAT1, ↑ type I/II IFN signature ","Early-onset severe multisystemic autoimmunity, neutropenia, lymphopenia, ITP, AIHA, SLE, GN, hepatosplenomegaly, psoriasis, arthritis, thyroiditis, hepatitis; recurrent bacterial infections. Incomplete penetrance ",,
PD-1 deficiency ,PDCD1,AR ,621004 ,Mostly intact expansion of CD4−CD8− double-negative (DN) αβ cells ,Normal ,"Lack of PD-1 on patient PBMCs, reduced IFN-γ production in response to mycobacterial stimuli ","Tuberculosis, autoimmunity (T1D, hypothyroidism, JIA), fatal pulmonary autoimmunity, hepatosplenomegaly. Decreased proportions of CD56bright NK, Vδ2+ γδ T, and MAIT cells ",,
PD-L1 deficiency ,CD274,AR ,NA ,"Normal, higher CD38 and HLA-DR expression on CD4+and CD8+αβ T lymphocytes ",Impaired IFN-γ expression by PD-L1 deficiency leukocytes. Memory B cells and antibody responses can be impaired ,"Reduced, not absent, PD-L1 expression, on patient PBMC ","Neonatal-onset autoimmunity including T1 diabetes. Reduced proportions of Vδ2+γδ T and NK lymphocytes, MAIT ",,
TLR7 monogenic lupus ,TLR7,AD GOF ,301080 ,Normal ,"Normal, increased IgD−CD27−B cells, age-associated B cells ",Enhanced TLR7 signaling drives aberrant survival of B-cell receptor–activated B cells ,"Childhood-onset SLE with multiple autoantibodies (ANA, dsDNA, U1RNP, etc.), hypocomplementemia, malar rash, autoimmune cytopenia, arthralgias, and glomerulonephritis. One patient with optic neuritis and transverse myelitis ",,
UNC93B1 monogenic lupus ,UNC93B1,AD GOF ,NA ,Reduction of CD4+ T cells and expansion of CD8+ T cells ,"Increased hyperreactive CD27highCD38high plasmablasts, increased CD27−IgD− B cells ","Disrupts TLR trafficking resulting in TLR-7 hyperactivation, aberrant recognition of self-nucleic acids, and increased type I IFN signaling ","Early-onset SLE or chilblain lupus with refractory autoimmune thrombocytopenia, autoimmune anemia, and erythematous rash, hepatosplenomegaly, glomerulonephritis, arthritis, and panniculitis + autoantibodies. Transient leukocytosis (neutrophilia and monocytosis) and lymphocytopenia. High levels of lupus-associated cytokines ",,
TRAF3 haploinsufficiency ,TRAF3,AD haploinsufficiency ,614849 ,Low total CD3+ and CD4+ T cells with decreased naïve and increased central memory populations. Decreases proportions of naïve CD8+ T cells. Increased Treg and TFH cells ,Normal CD19+; with low class-switched memory B cells,Increased alternative NF-κB signaling in B cells ,"Lymphadenopathy and splenomegaly. B cell lymphoproliferation. Recurrent sinopulmonary infections with poor polysaccharide responses and bronchiectasis. Immune dysregulation syndrome with autoimmunity and systemic inflammation: Sjögren’s syndrome with positive autoantibodies, vasculitis, glomerulonephritis, autoimmune thyroid disease, and systemic juvenile arthritis. Enteropathy. Multiple autoantibodies.",,
CBLB deficiency ,CBLB,AR ,620430 ,"Normal counts, hyperproliferative ",Normal ,Resistance to Treg suppression and increased B-cell signaling ,"Autoimmune polyendocrinopathy (thyroid and type I DM), autoimmune cytopenias (AIHA, ITP), vitiligo, fevers, and polyserositis. Multiple autoantibodies ",,
PLCG1 GOF disease ,PLCG1,AD ,620514 ,Normal ,Normal ,Exacerbated NF-κB and type II interferon pathway in patient T cells. Hyperactivated NF-κB and type I interferon pathway in monocytes ,"Cytopenias (AIHA, ITP). Multiple autoantibodies. Lymphadenopathies. May have low NK cells ",,
SH2B3 deficiency ,SH2B3,AR ,605093 ,NA ,NA ,"Increased phosphorylation of JAK2, STAT5, and STAT3 ","Hepatosplenomegaly or splenomegaly with thrombocytosis, neutrophilia, and bone marrow showing myeloid and megakaryocytic hyperplasia. Multi-organ autoimmunity: autoimmune hepatitis, thyroiditis, type I DM, and alopecia areata. Monogenic lupus ",,
NCKAP1L deficiency ,NCKAP1L,AR ,618982 ,"Normal number, DNT can be high, central memory and TEMRA can be increased ",Increased B cells with increased naïve B-cell proportion ,"Actinopathy. Hyperinflammation and cytokine overproduction (↑Th1), ↑ T-cell proliferation, cytoskeletal defects ","Immune dysregulation with immunodeficiency coupled with hyperinflammation, lymphoproliferation, and autoimmunity",,
ARPC5 deficiency ,ARPC5,AR ,620565 ,"Low-normal CD4+T-cell counts, low recent thymic emigrant CD4+T-cell counts, low naïve CD8+T cells, excess of memory and TEMRA cells ","Increased B-cell counts, high frequency of age-associated B cells ","Actinopathy, normal/high IgG, IgA, and IgM (Ig3 elevated in 1 pt) ","Recurrent and severe infections, severe early-onset autoimmunity, inflammation, and dysmorphisms. Increased NKT cells, neutrophilia ",,
NFAT1 deficiency ,NFATC2,AR ,620232 ,Normal with increased exhaustion markers ,"Normal counts increased naïve, transitional, decreased switched memory B cells ","Calcium–calcineurin signals drive cell activation, proliferation, and survival ","Joint contractures, osteochondromas, B-cell lymphoma. No recurrent infections or autoimmunity although there was increased IL-6 in patient chondrocytes",,
LACC1 deficiency ,LACC1,AR ,618795 ,NA ,NA ,Impaired autophagy in macrophages ,Systemic juvenile arthritis or polyarticular juvenile arthritis ,,
